gene_name,Day 0,Day 5,Day 9,Day 12,Day 15
DMC1,0.815779067,1.659237561,1.841574342,1.306004374,2.325054333
DMD,9.394700401,9.175412039,9.346811525,6.232924735,9.810584956
DMGDH,7.309837515,2.40532522,3.55501068,4.999278701,3.205777641
DNAH1,13.91929003,15.56337912,54.29707949,34.13091983,7.849528339
DNAH11,0.828518971,1.953801874,2.176891833,1.639368669,1.704438261
DNAH5,6.243341506,2.48334849,0.55070815,1.02419381,3.623170681
DNAH7,1.15366644,1.598122834,2.57233532,4.510245381,2.132520034
DNAJB5,27.15574082,58.78434625,64.16523102,47.42738417,24.83797489
DNAJC6,11.51227107,13.690222,16.60838401,21.89189973,18.34254837
DNMT3B,2.895450136,3.487821303,3.233651598,0.953944129,1.960457212
DOCK3,1.266021252,5.368826236,5.196160843,6.217494156,3.532160905
DOK7,0.035879341,8.413677941,37.9292652,47.82701533,9.786014973
DPY19L2,2.501979497,3.012157419,2.527515086,1.912961957,3.38140836
DPYSL5,0,0,0.935683373,3.75477084,33.18334222
DRP2,2.373876224,40.30314979,52.61307902,32.81013635,27.21667729
DTNA,3.479467899,9.765891359,10.81306043,16.50562374,17.65494507
DUOX2,0.031542692,0.697593509,2.427062502,3.317970038,0.279994965
EBF3,9.723440663,6.615164406,5.000937968,7.722225613,11.25884256
EDNRA,11.81568003,19.6770275,56.33324857,69.04384828,52.6853139
EGF,0.984767531,2.692313666,8.706726685,9.175157059,6.309778827
EIF1AY,5.646330027,15.63359387,14.48263552,15.48197427,11.91620547
ELP4,8.563834341,13.79235951,12.97492256,17.86408731,16.52728123
EMG1,22.05706195,26.27539535,19.18588039,17.30934807,24.22397745
ENAM,0.177287577,0.10584709,1.450639739,0.919031681,1.891104049
EPB41,13.44186565,14.25165834,26.70841654,17.97688933,22.11013861
ERBB3,0.774870234,4.473060142,56.90310809,45.51932907,18.38063495
ERBB4,0.784206001,0.220810731,0.608080603,0,1.866404136
ESPN,0.003797389,1.050711531,1.19178892,0.912615293,1.029155485
ESR1,2.203151,0.563685544,0.316671589,0.510684433,0.126811154
ESRRB,0.143908084,0.305206223,0.862628975,2.790505551,0.206164582
EXPH5,0.259246022,0.412911448,2.524922195,5.267442538,8.403060499
F12,0.287775413,1.119993201,1.527968018,0.638058117,0.14796614
F8,5.618247186,7.924055842,6.394054877,6.549013335,5.218456103
FASLG,0,0.937682885,1.591922493,0.577479007,0
FDXR,20.98798922,22.29284941,27.10513461,35.0299796,28.33441828
FERMT1,2.889546475,17.82001581,4.54609524,3.005855451,3.431030549
FGF13,4.461524005,5.943189894,1.565322681,0.911864642,4.557034554
FGF14,8.994610199,2.260515105,1.060604222,1.423038169,1.507162778
FGF9,3.397117046,0.019199988,0.200611743,0.587429087,1.603549391
FGFR2,15.00123821,1.07453609,23.84317122,62.50961491,88.08083484
FGFR3,0.724739255,1.487283501,0.607512781,0.324478261,0.181542075
FHL2,294.8246066,123.9004946,35.6128104,34.36378652,53.32608083
FHOD3,48.03022392,60.64340806,91.54748857,116.4154557,157.6727931
FIGN,3.605587828,5.329817493,8.745002812,4.849311351,9.250184467
FILIP1,1.130894445,3.474555224,32.45787313,29.14853029,31.44885455
FLG,5.237185863,0.421760281,0.333344503,0.829448144,23.53400611
